Actividades según jerarquía (CNAE-2009);Índice y tasas;Periodo;Total
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2025M11;111,675
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2025M10;111,412
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2025M09;109,943
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2025M08;109,295
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2025M07;119,610
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2025M06;111,339
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2025M05;108,955
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2025M04;104,201
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2025M03;103,286
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2025M02;93,701
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2025M01;106,597
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2024M12;126,569
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2024M11;107,686
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2024M10;106,803
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2024M09;103,241
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2024M08;105,958
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2024M07;114,772
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2024M06;105,182
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2024M05;104,115
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2024M04;100,963
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2024M03;99,451
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2024M02;92,990
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2024M01;104,145
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2023M12;122,107
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2023M11;105,705
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2023M10;101,194
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2023M09;101,978
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2023M08;102,909
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2023M07;111,396
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2023M06;106,553
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2023M05;103,665
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2023M04;98,179
Comercio al por menor sin Estaciones de Servicio (47 sin 473);Índice;2023M03;100,686
